is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
tentat_yes power_yes risk_yes netspeak_yes many_sixltr has_hashtag has_url  doctor gynoticians stop passing laws second guess doctors endanger patients cost taxpayers millions 
cause_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  doctor lays revisionist history junk science arizona lawmakers used undermine reprorights 
is_clout_yes is_authentic_no is_tone_yes posemo_yes netspeak_yes has_photo has_hashtag has_url  women treat em like sh notmycandidate 
is_clout_yes cause_yes netspeak_yes many_sixltr has_url  experiences trans men provide unique window gender functions american society 
is_analytic_yes is_clout_yes is_authentic_no posemo_yes affiliation_yes risk_yes netspeak_yes has_photo has_url  missouri cautionary tale nation thanks telling stories 
is_authentic_no is_tone_yes posemo_yes power_yes reward_yes netspeak_yes has_exclam has_photo has_url  great news california expanded health care 170k undocumented children 
is_analytic_yes affiliation_yes power_yes netspeak_yes has_photo has_hashtag has_url  joining 100 groups tell congress pass cleanbudget unpopular policy riders noriders 
is_authentic_no posemo_yes power_yes netspeak_yes assent_yes has_photo has_url  ok senate passed revoke licenses jail doctors provide abortion 
is_tone_yes posemo_yes see_yes power_yes risk_yes netspeak_yes has_hashtag has_url  today nat sayhername day action black women girls femmes deserve safety support reproductive justice 
netspeak_yes many_sixltr has_photo has_hashtag has_url  lifted abortion ban canada international aid helmshurts 
is_authentic_yes tentat_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  women come pp health center point lifetime simple math pinkoutthevote 
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes discrep_yes reward_yes risk_yes none  good abortions bad abortions pregnant people want pregnant people 
is_analytic_yes reward_yes netspeak_yes many_sixltr has_hashtag has_url  away canada helms amendment equivalent expanding access abortion helmshurts 
is_analytic_no is_authentic_no is_tone_no negemo_yes anx_yes power_yes netspeak_yes has_photo has_url  terrifying donald trump gop nominee president 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anx_yes discrep_yes power_yes risk_yes netspeak_yes has_photo has_hashtag has_url  lawmakers sneak unpopular riders budget want avoid real debate noriders cleanbudget 
is_authentic_no posemo_yes discrep_yes risk_yes netspeak_yes low_wps has_url  abortion restrictions push safe legal abortion reach decrease people needs 
is_clout_no is_authentic_yes posemo_yes cause_yes power_yes reward_yes netspeak_yes has_photo has_hashtag has_url  final supreme court ruling zubikvburwell employees maintain access birth control 
is_clout_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes sad_yes insight_yes cause_yes affiliation_yes power_yes risk_yes many_sixltr has_hashtag  deportation raids threaten dignity women children devastating effects immigrant families health stoptheraids 
is_analytic_yes discrep_yes tentat_yes power_yes netspeak_yes has_url  alabama gov signed anti abortion restriction law close health centers women rely 
is_authentic_no posemo_yes negemo_yes anx_yes discrep_yes tentat_yes none  deportation raids reinforce culture fear keeps immigrants seeking health care need health borders 
is_analytic_no is_authentic_yes posemo_yes cause_yes certain_yes differ_yes affiliation_yes power_yes reward_yes netspeak_yes has_photo has_hashtag has_url  deserves benefit copay birth control handsoffmybc 
is_clout_no is_authentic_yes posemo_yes negemo_yes sad_yes insight_yes differ_yes affiliation_yes power_yes netspeak_yes has_photo has_hashtag has_url  supreme court rule zubikvburwell instead asked lower courts reconsider 
is_clout_no is_tone_no negemo_yes anger_yes differ_yes power_yes netspeak_yes many_sixltr low_wps has_photo has_hashtag has_url  outlier gop republican legislators waged assault reprorights health 
is_authentic_yes is_tone_no negemo_yes sad_yes cause_yes power_yes reward_yes netspeak_yes has_photo has_hashtag has_url  women maintain access birth control coverage lower courts review zubikvburwell handsoffmybc 
is_clout_yes is_tone_yes posemo_yes cause_yes differ_yes affiliation_yes achieve_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  stereotypes mothers fathers create pay differences work let ditch myths support momsequalpay 
is_analytic_yes discrep_yes power_yes netspeak_yes has_url  massachusetts senate passed transgender rights expected pass gov signature 
is_tone_yes posemo_yes insight_yes power_yes risk_yes netspeak_yes low_wps has_exclam has_hashtag has_url  clarified denying trans people health care discriminatory protections aca thanksaca 
is_clout_yes certain_yes differ_yes affiliation_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  reprohealth woman issue empowering women empowers families communities entire country 
is_analytic_no is_clout_yes is_authentic_yes posemo_yes negemo_yes anger_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes has_photo has_url  fighting real positive change year exclude america winnie ye 
is_analytic_yes is_authentic_yes posemo_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps has_url  issues including access care planned parenthood health centers stake election 
is_analytic_yes posemo_yes affiliation_yes achieve_yes netspeak_yes has_exclam has_photo has_hashtag has_url  thankful hospitality space work pinkoutthevote pinksburgh 
is_authentic_no is_tone_no negemo_yes anger_yes certain_yes power_yes netspeak_yes has_photo has_hashtag has_url  seek intimidate undermine punish women wontbepunished sign 
is_analytic_no is_authentic_yes tentat_yes differ_yes hear_yes netspeak_yes has_photo has_url  registered recently moved ensure voice heard 
is_analytic_no is_clout_yes is_authentic_no cause_yes certain_yes affiliation_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  justice organizing pinkoutthevote 
is_clout_yes is_tone_no negemo_yes anx_yes anger_yes insight_yes cause_yes discrep_yes certain_yes affiliation_yes power_yes risk_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  dee dee waters fired crowd reasons pinkoutthevote rights threat 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes certain_yes affiliation_yes power_yes many_sixltr low_wps has_hashtag  demeaning egotistical misogynistic racist xenophobic spreads hatred pinkoutthevote 
is_clout_yes affiliation_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  unruly mob democracy action sets record right pinkoutthevote 
is_clout_yes is_authentic_yes is_tone_no posemo_yes negemo_yes anger_yes insight_yes affiliation_yes power_yes netspeak_yes few_sixltr has_photo has_url  attacks trans ppl community love secret kill public dee dee waters 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes affiliation_yes power_yes reward_yes has_hashtag  care great city council member doctors office pinkoutthevote 
is_analytic_no is_clout_yes insight_yes cause_yes certain_yes hear_yes affiliation_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark has_photo has_hashtag has_url  folks shouting commitments pinkoutthevote hours commit let know 
is_clout_yes is_authentic_no posemo_yes negemo_yes cause_yes affiliation_yes risk_yes netspeak_yes has_photo has_hashtag has_url  shares single story swayed pa legislators stop dangerous abortion ban pinkoutthevote 
posemo_yes cause_yes certain_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr has_exclam has_qmark has_photo has_hashtag has_url  make sure makes white house let work pinkoutthevote 
cause_yes affiliation_yes risk_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  powerofpink way stop extremists pinkoutthevote 
is_analytic_no is_clout_no is_authentic_yes insight_yes differ_yes affiliation_yes power_yes netspeak_yes has_hashtag has_url  americans like lice nickelback mean let pinkoutthevote 
posemo_yes differ_yes affiliation_yes power_yes reward_yes netspeak_yes few_sixltr has_photo has_url  sit sidelines lawmakers target rights access health care 
is_analytic_no is_clout_yes posemo_yes discrep_yes tentat_yes affiliation_yes power_yes netspeak_yes few_sixltr has_photo has_url  people want build walls gonna build bridges rich fitzgerald county executive 
is_analytic_no is_clout_no is_authentic_yes differ_yes hear_yes affiliation_yes netspeak_yes low_wps has_photo has_hashtag has_url  disparage trans sisters speaking anti lgbtq bills powerofpink 
is_analytic_no is_clout_yes certain_yes low_wps has_hashtag  sexual reprorights human rights foundational lives dreams pinkoutthevote 
is_analytic_no is_clout_yes is_authentic_no certain_yes differ_yes affiliation_yes achieve_yes many_sixltr low_wps has_hashtag  planned parenthood specific group people planned parenthood everybody pinkoutthevote 
is_clout_yes is_authentic_no posemo_yes cause_yes affiliation_yes achieve_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  standing ovation cazembe jackson sharing came planned parenthood stays powerofpink 
is_clout_yes is_tone_no negemo_yes sad_yes cause_yes certain_yes feel_yes affiliation_yes risk_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  deirdre schifeling calls dangerous rhetoric abortion hurts pinkoutthevote 
is_analytic_no is_authentic_yes cause_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes reward_yes netspeak_yes low_wps has_exclam has_hashtag has_url  md passed expansive birth control access law country possible pinkoutthevote 
is_analytic_no is_authentic_yes cause_yes discrep_yes tentat_yes differ_yes power_yes reward_yes low_wps has_hashtag  access abortion constitutional right depend zip code tell congress actforwomen powerofpink 
is_authentic_yes posemo_yes negemo_yes insight_yes reward_yes netspeak_yes few_sixltr high_wps has_animated_gif has_hashtag has_url  notice areas zikavirus impact 1st states cut access care pp reprohealth 
is_analytic_no posemo_yes cause_yes affiliation_yes achieve_yes power_yes risk_yes few_sixltr has_exclam has_hashtag  law puts reproductive health rights actforwomen support women health protection act 
is_analytic_yes is_authentic_yes affiliation_yes netspeak_yes many_sixltr has_exclam has_photo has_hashtag has_url  thousand young activists country coming pittsburgh today pinkoutthevote 
reward_yes netspeak_yes assent_yes few_sixltr low_wps has_exclam has_hashtag has_url  yes sen elizabeth warren taking donald trump ftw 
is_authentic_yes cause_yes affiliation_yes achieve_yes netspeak_yes has_photo has_url  week planned parenthood filed suit states states enacted defunding measures 
is_authentic_no is_tone_no negemo_yes insight_yes discrep_yes power_yes netspeak_yes low_wps has_exclam has_photo has_hashtag has_url  sen knows damage president trump women gop senators doyourjob 
is_authentic_no is_tone_no negemo_yes anger_yes insight_yes feel_yes power_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  women fighting discriminatory hb2 law know pain prejudice key 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes cause_yes reward_yes risk_yes few_sixltr none  pp suing ohio blocking pp patients care july pp filed suit 15 cases protect access care health centers 
is_analytic_no is_authentic_no is_tone_no negemo_yes power_yes risk_yes netspeak_yes has_url  spew sexist rhetoric backs dangerous policies ignore women lives 
is_authentic_no posemo_yes negemo_yes anger_yes discrep_yes tentat_yes see_yes power_yes high_wps has_hashtag  state political attacks pp clinics respond zikavirus seen patients blocked care pp 
is_clout_yes is_authentic_no cause_yes discrep_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  zikavirus public health emergency immediate response include access family planning education counseling services 
is_analytic_yes is_clout_no discrep_yes tentat_yes differ_yes power_yes risk_yes many_sixltr has_hashtag  politics congress stand way funding prevent public health crisis possible zikavirus 
is_analytic_no is_authentic_no is_tone_no negemo_yes sad_yes feel_yes power_yes reward_yes risk_yes netspeak_yes has_photo has_hashtag has_url  john kasich policies hurt ohioans pp ohio taking court protect patients wontbepunished 
is_clout_no is_tone_yes posemo_yes certain_yes differ_yes power_yes netspeak_yes low_wps has_url  misogynistic talk trump presidency comes promises overturning roe wade 
is_authentic_no is_tone_yes posemo_yes tentat_yes see_yes hear_yes achieve_yes power_yes reward_yes risk_yes netspeak_yes low_wps has_hashtag has_url  says best chance overturn roe wade criminalize safe abortion watch nevertrump 
is_analytic_yes is_authentic_yes discrep_yes netspeak_yes has_url  extremists al passed abortion restrictions hours session close clinics left 
is_authentic_no is_tone_no negemo_yes anger_yes tentat_yes power_yes netspeak_yes nonflu_yes has_photo has_url  native american women times likely experience sexual assault 
is_analytic_yes is_authentic_no see_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  immigrants muslims people color rhetoric coming gop presidential candidates personal apahm 
is_analytic_no is_tone_yes posemo_yes cause_yes differ_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark has_url  lawmakers wrote heartfelt posts great moms won change policy make lives easier 
is_tone_yes posemo_yes differ_yes power_yes many_sixltr high_wps none  north carolina announced instead treating lgbtq people dignity respect going sue federal government 
is_analytic_yes is_authentic_no posemo_yes negemo_yes anger_yes cause_yes hear_yes high_wps none  extremists mo said pregnancy rape silver lining used racist stereotypes ban abortion blocked pp patients care 
posemo_yes insight_yes achieve_yes netspeak_yes has_url  report finds hospital beds catholic institution limits reproductive care 
is_clout_yes is_authentic_no posemo_yes insight_yes see_yes netspeak_yes low_wps has_photo has_hashtag has_url  flowers candy health care housing know deserves send mamasday card 
is_analytic_yes is_authentic_yes posemo_yes negemo_yes anx_yes power_yes reward_yes few_sixltr has_hashtag  az shamed repealing newly passed restrictions abortion voted block access care pp standwithpp 
is_clout_no posemo_yes negemo_yes anger_yes insight_yes differ_yes power_yes netspeak_yes has_url  lawmakers targeting attacking health care organization women come wise 
is_analytic_no is_clout_yes posemo_yes negemo_yes anger_yes insight_yes discrep_yes tentat_yes certain_yes differ_yes affiliation_yes few_sixltr has_hashtag  fight person right mother ready mothersday momsmatter 
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes affiliation_yes achieve_yes netspeak_yes many_sixltr low_wps has_exclam has_photo has_hashtag has_url  planned parenthood wishes happy mothersday momsmatter 
is_analytic_yes is_clout_no is_tone_yes posemo_yes negemo_yes anger_yes differ_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes low_wps has_url  attacking access care planned parenthood win elections americans support access care pp 
is_analytic_no is_clout_yes is_authentic_no certain_yes affiliation_yes risk_yes few_sixltr has_hashtag  pp nurses protect lives health millions women men families nationalnursesweek 
posemo_yes cause_yes differ_yes achieve_yes power_yes reward_yes netspeak_yes low_wps has_exclam has_url  vermont moved make kinds birth control vasectomies accessible thanks work 
is_analytic_no is_authentic_no is_tone_no negemo_yes cause_yes discrep_yes differ_yes netspeak_yes many_sixltr has_hashtag has_url  shortchange women women unfriendly equalpay business unfriendly 
is_analytic_no is_tone_no negemo_yes anger_yes cause_yes certain_yes power_yes risk_yes netspeak_yes has_qmark has_photo has_url  anti abortion lawmakers absolute worst comes sexual assault rape 
is_clout_yes is_authentic_no discrep_yes certain_yes power_yes risk_yes netspeak_yes has_photo has_url  nc women children protection act 2015 mandates ultrasound sent state officials 
is_analytic_no is_tone_yes posemo_yes differ_yes hear_yes netspeak_yes low_wps has_photo has_hashtag has_url  says support nevertrump notmycandidate 
discrep_yes netspeak_yes has_photo has_hashtag has_url  consent start college young ppl need sexed consent sooner 
is_analytic_yes insight_yes netspeak_yes low_wps has_qmark has_photo has_url  la women enhanced reflection act mandates 72 hr waiting period abortion 
is_authentic_no is_tone_no negemo_yes anger_yes cause_yes power_yes reward_yes netspeak_yes has_photo has_url  politicians using lies basis legislation getting away 
is_authentic_no cause_yes affiliation_yes netspeak_yes has_hashtag has_url  poll majority women experience gender based discrimination womancard 
is_authentic_no is_tone_no negemo_yes anger_yes sad_yes cause_yes achieve_yes power_yes risk_yes swear_yes netspeak_yes few_sixltr has_photo has_url  lose lose situation life hell women ohio 
is_clout_yes is_authentic_no is_tone_no negemo_yes cause_yes hear_yes affiliation_yes netspeak_yes has_url  stand filed civil rights complaint bc hospital told silent abortion 
is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes has_photo has_hashtag has_url  college women raped experts believe sexed blame 
is_authentic_no posemo_yes negemo_yes discrep_yes affiliation_yes power_yes reward_yes risk_yes netspeak_yes has_hashtag has_url  abortion economic justice issue lawmakers ignore health care needs cut access safe legal care 
is_analytic_no is_clout_no is_tone_no posemo_yes negemo_yes anger_yes sad_yes certain_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr low_wps has_photo has_hashtag has_url  built campaigns attacking pp undermining reprorights win elections rejected 
is_analytic_no cause_yes tentat_yes differ_yes power_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  women pregnancy outcomes criminalized abortion legal right wontbepunished 
is_authentic_yes posemo_yes negemo_yes anger_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes has_hashtag  women gone planned parenthood attacking access care pp health centers win elections notmycandidate 
is_analytic_no is_clout_no is_authentic_yes differ_yes netspeak_yes low_wps has_hashtag has_url  bringing notmycandidate 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes tentat_yes power_yes risk_yes netspeak_yes many_sixltr has_url  spouts hateful lies immigrants muslims protests dangerous policies 
is_authentic_no posemo_yes negemo_yes anger_yes discrep_yes differ_yes affiliation_yes power_yes reward_yes low_wps has_hashtag  states blocking care pp banning abortion need president fight access trump person notmycandidate 
is_analytic_no is_authentic_no is_tone_no negemo_yes insight_yes cause_yes discrep_yes reward_yes risk_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  know bad gop pres candidates women health quiz 
is_clout_yes is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes many_sixltr has_url  gynoticians busy interfering personal medical decisions educate sexual assault 
is_authentic_yes insight_yes cause_yes feel_yes power_yes reward_yes netspeak_yes few_sixltr has_qmark has_hashtag has_url  know servicewoman hard getting birth control choice standwithservicewomen 
is_analytic_no is_clout_yes is_authentic_yes posemo_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_photo has_url  women really change things leadership helps 
is_analytic_no insight_yes discrep_yes risk_yes netspeak_yes many_sixltr has_hashtag has_url  news networks need stop calling controversial mean bigoted nevertrump 
is_authentic_no insight_yes discrep_yes see_yes power_yes netspeak_yes few_sixltr has_qmark has_photo has_url  women comprise 19 congress women color parity mean 
is_authentic_yes see_yes netspeak_yes many_sixltr low_wps has_photo has_url  colorado springs health center fully reopened sunday sending 
is_analytic_yes is_authentic_yes insight_yes cause_yes risk_yes netspeak_yes has_hashtag has_url  suing stop indiana extreme anti abortion restriction going effect wewontgoback 
is_analytic_no is_clout_yes is_tone_no negemo_yes anx_yes anger_yes sad_yes tentat_yes differ_yes affiliation_yes power_yes risk_yes netspeak_yes low_wps has_photo has_hashtag has_url  deplore violence reject threats going standwithpp 
is_analytic_no is_clout_yes is_tone_no negemo_yes anger_yes certain_yes power_yes netspeak_yes has_url  fiorina built campaign lies pp lies stuck fact checkers repeatedly called 
is_analytic_yes is_tone_yes posemo_yes insight_yes tentat_yes netspeak_yes many_sixltr low_wps has_url  interview fantastic questions 
is_clout_yes is_tone_no negemo_yes sad_yes cause_yes see_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes few_sixltr has_url  testified new congressional caucus black women girls fails 
is_authentic_no insight_yes cause_yes achieve_yes power_yes netspeak_yes has_photo has_url  equality act solution state anti lgbtq laws 210 sponsors 
insight_yes discrep_yes few_sixltr none  trump man card pays unimaginable woman run flimsy set ideas trump offered 
is_authentic_no is_tone_no negemo_yes anger_yes cause_yes differ_yes affiliation_yes power_yes many_sixltr has_hashtag  hate main campaigns onmayday communities mobilizing racism bigotry 
is_analytic_no is_clout_yes is_tone_no negemo_yes see_yes power_yes many_sixltr has_hashtag  women seeing rights stripped away reprehensible continues dismiss degrade women onmayday 
is_tone_yes posemo_yes discrep_yes power_yes reward_yes assent_yes few_sixltr none  donald trump ted cruz agree pp block people care pp willing shut government 
is_analytic_yes differ_yes affiliation_yes reward_yes netspeak_yes has_photo has_hashtag has_url  onmayday communities country taking stand stand racism bigotry 
is_analytic_no is_authentic_no certain_yes netspeak_yes has_url  longer racism couched language donald trump emboldened explicit rallying base 
is_analytic_yes posemo_yes negemo_yes sad_yes certain_yes differ_yes power_yes netspeak_yes many_sixltr has_url  unplanned teen pregnancy rate reached low despite anti women health care lawmakers setbacks 
is_analytic_yes is_tone_no negemo_yes anx_yes anger_yes power_yes risk_yes netspeak_yes has_url  current attacks fetal tissue research pose threat medical breakthroughs 
is_analytic_yes differ_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  extremists faked malicious video campaign planned parenthood advisors campaign 
is_analytic_no is_authentic_no posemo_yes cause_yes power_yes reward_yes netspeak_yes has_photo has_hashtag has_url  ted cruz vp pick reinforces cares restricting reprohealth access 
is_authentic_no is_tone_yes posemo_yes achieve_yes reward_yes netspeak_yes has_exclam has_photo has_hashtag has_url  play woman card reap rewards womancard dealmein 
is_analytic_no is_clout_no is_tone_no posemo_yes negemo_yes anger_yes insight_yes discrep_yes tentat_yes differ_yes affiliation_yes power_yes assent_yes has_hashtag  ok court rules oral sex rape victim blacked consciousness required consent need laws reflect saam 
is_tone_no negemo_yes anger_yes insight_yes cause_yes achieve_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  deandre levy writes powerful exploration toxic masculinity contributes rape culture saam 
is_authentic_no is_tone_no negemo_yes anx_yes anger_yes insight_yes power_yes risk_yes netspeak_yes has_url  anti abortion lawmakers threatening life saving fetal tissue research lists 12 things know 
is_clout_no is_authentic_no insight_yes cause_yes certain_yes swear_yes netspeak_yes has_photo has_hashtag has_url  65 reasons total badass tbt sheswithus 
is_analytic_no is_authentic_no is_tone_yes posemo_yes certain_yes power_yes reward_yes netspeak_yes assent_yes many_sixltr has_photo has_hashtag has_url  reprohealth care access absolutely economic justice issues norjwithoutej 
is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes differ_yes affiliation_yes achieve_yes power_yes few_sixltr low_wps has_hashtag  learned survivor rights equal states backlogs untested rape kits amanda nguyen saam 
is_authentic_no cause_yes discrep_yes netspeak_yes has_photo has_url  stories read picking 
is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes affiliation_yes achieve_yes power_yes netspeak_yes low_wps has_photo has_hashtag has_url  riseup fighting need establish baseline procedures sexual assault survivors saam 
is_analytic_no tentat_yes differ_yes power_yes reward_yes many_sixltr has_hashtag  military women accessing abortion deployed overseas option congress standwithservicewomen 
is_analytic_no posemo_yes negemo_yes discrep_yes certain_yes differ_yes achieve_yes risk_yes many_sixltr has_hashtag  wrong servicewomen overseas overcome language barriers countries abortion care standwithservicewomen 
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr low_wps has_photo has_hashtag has_url  women play vital role military able access reprohealth care standwithservicewomen 
is_analytic_no is_clout_yes is_tone_yes posemo_yes tentat_yes differ_yes hear_yes low_wps has_qmark has_hashtag  woman card rare hear talk women sexualizing dismissing issues dealmein 
is_tone_no negemo_yes anger_yes insight_yes cause_yes certain_yes netspeak_yes has_photo has_hashtag has_url  anti abortion extremists use proven lies extreme agenda standwithpp 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes cause_yes tentat_yes affiliation_yes reward_yes has_hashtag  women dislike talks marginalizes issues nevertrump 
is_authentic_no posemo_yes differ_yes see_yes netspeak_yes few_sixltr has_photo has_url  trump playing cards right 10 women unfavorable view 
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes anx_yes discrep_yes tentat_yes affiliation_yes netspeak_yes nonflu_yes many_sixltr low_wps has_hashtag has_url  awkward tells notmycandidate 
is_analytic_no is_clout_yes is_authentic_yes insight_yes certain_yes feel_yes power_yes high_wps none  clearly understand america history lesson woman rarely gives upper hand 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes tentat_yes affiliation_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  meet loathsome pair anti abortion extremists america notmycandidate 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes sad_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  criminal justice fails survivors sexual assault sexual assault survivors act help saam 
is_authentic_no is_tone_no negemo_yes discrep_yes power_yes risk_yes netspeak_yes has_photo has_url  oklahoma worst states women health criminalize doctors 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes feel_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  congrats nation best presidential candidate reprorights hands sheswithus 
is_analytic_no is_clout_no is_authentic_yes differ_yes power_yes netspeak_yes many_sixltr low_wps has_photo has_url  rhetoric policies dividing country opponents far step 
is_authentic_no posemo_yes discrep_yes certain_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr has_photo has_url  won primaries tonight guys white house 
is_clout_no is_tone_no negemo_yes anger_yes cause_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes low_wps has_photo has_hashtag has_url  deserves treated like criminal especially sexual assault survivors demand change riseup 
is_tone_no negemo_yes anger_yes tentat_yes achieve_yes power_yes netspeak_yes has_url  amanda nguyen pushing forward sexual assault survivors rights act rape kit destroyed 
is_analytic_yes is_tone_no negemo_yes anger_yes tentat_yes achieve_yes power_yes risk_yes netspeak_yes few_sixltr low_wps has_photo has_hashtag has_url  states charge survivors sexual assault 000 rape kits wrong riseup survivors 
is_authentic_no cause_yes certain_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  hillary commitment women reproductive health rights imwithher 
is_authentic_no posemo_yes negemo_yes cause_yes tentat_yes achieve_yes power_yes swear_yes netspeak_yes has_qmark has_photo has_url  pretty darn exhausting try deny employees copay birth control amirite 
is_analytic_no is_tone_no posemo_yes negemo_yes anger_yes cause_yes differ_yes affiliation_yes achieve_yes power_yes risk_yes has_hashtag  survivors sexual assault deserve laws protect cause greater trauma riseup survivors demand 
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes anger_yes certain_yes hear_yes feel_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  speaking truth equalpay msnbctownhall fought long hard ppact4hillary 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes discrep_yes differ_yes affiliation_yes reward_yes netspeak_yes has_url  trans folks need visibility access health care freedom discrimination support parenting 
posemo_yes negemo_yes anger_yes reward_yes netspeak_yes has_url  anti abortion movement majority support rely lies undermine access health care 
is_analytic_no is_clout_no netspeak_yes many_sixltr low_wps has_url  gynoticians strike anti abortion restriction scientific backing abortion reversal 
is_tone_no negemo_yes certain_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr has_animated_gif has_url  teaming stop dangerous 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes differ_yes affiliation_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  stand lgbtq community hate legalized discrimination repealhb2 wearenotthis 
posemo_yes power_yes risk_yes netspeak_yes assent_yes has_url  ok passes revoke licenses doctors perform abortion heads stop 
is_authentic_no tentat_yes achieve_yes netspeak_yes has_photo has_hashtag has_url  costing states lot money try undermine rights wewontgoback 
is_analytic_no is_tone_no negemo_yes anger_yes insight_yes cause_yes power_yes netspeak_yes has_hashtag has_url  maine based grandmothers reproductive rights remember like birth control illegal grr 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes power_yes netspeak_yes has_photo has_url  lawmakers relying lies anti abortion extremists block patients pp 
is_tone_no negemo_yes tentat_yes certain_yes achieve_yes netspeak_yes few_sixltr has_url  states tried cut funds pp way possible ignore funds reimbursements services 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes netspeak_yes many_sixltr has_hashtag has_url  fl supreme court blocked 24 hour waiting period abortion wewontgoback 
is_authentic_no posemo_yes negemo_yes cause_yes netspeak_yes few_sixltr high_wps has_url  cut million nj budget women health care people beng impacted 
is_analytic_yes is_clout_no differ_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  takes gynoticians practice medicine license congress 
is_tone_no negemo_yes anger_yes tentat_yes differ_yes netspeak_yes few_sixltr has_photo has_url  women 27 times likely men harassed online fighting 
posemo_yes negemo_yes anger_yes insight_yes cause_yes certain_yes power_yes netspeak_yes has_photo has_url  anti abortion lawmakers using proven lies push extreme agenda targeting care 
is_analytic_yes is_authentic_no see_yes power_yes netspeak_yes few_sixltr has_url  56 people color abortion wrote congress latest racist sexist abortion ban 
posemo_yes insight_yes discrep_yes differ_yes power_yes netspeak_yes assent_yes many_sixltr has_url  content intruding personal decisions ok gynoticians want revoke med licenses doctors 
is_analytic_yes is_tone_no negemo_yes cause_yes see_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes has_photo has_url  faked criminal videos hit politicians 24 states tried cut patients access planned parenthood 
